userName,score,at,content
Amri Dh,1,2022-11-08 07:49:29,"Setelah isi data diri kabayan, eh.. malah gagal memuat data. Bener ngak nih aplikasi. Takutnya penyalah gunaan data diri. Productnya efishery bagus, aplikasinya juga harus bagus lah."
Prima Cell,1,2022-11-05 18:45:21,Ndak bisa dibuka
Martino Ashar,1,2022-11-03 20:12:57,Aplikasi tidak jelas. Mau beli pakan sudah di tulis sesuai form yang di wa tp tidak ada respon. Lha terus bagaimana?
Pratama Ndaru,1,2022-11-02 17:03:55,"Mau jual ikan susah, untuk hubungin CSnya aja ga di bales bales. PHP aplikasinya ni"
Rawun dotTV,1,2022-10-27 01:08:26,"Tdak ada pembelian pakan tibatiba bisa dikirim kwitansi via wa, padahal aplikasi sebelumya sudah saya hapus. Mengerikan"
Yono Winarto,1,2022-09-26 11:05:33,Aplikasi ga jelas layanan nya pun sangat sangat buruk mending pikir pikir lg buat petani pake apk ini...
Arif Budiono,1,2022-08-08 21:15:04,Fitur aplikasi belum siap
HBS Version,1,2022-07-22 10:22:29,"Aplikasi yg belum siap launching. Beli pakan langsung diarahkan ke WA utk kirim pesan tapi begitu pesan terkirim tidak ada respon sama sekali. Kemudian terkait alat pemberi pakan pun tdk jelas bgm cara belinya bgm programnya, dan msh byk lainnya yg perlu diperbaiki"
RAKUS PURWOREJO,1,2022-07-17 00:53:45,"Aplikasinya kadang susah diakses,sesudah pengajuan program Kabayan tidak ada proses kejlasan di ACC atau ngaknya,,perlu perkembangan ini aplikasi"
kosyim nanang,1,2022-07-14 11:19:58,"Udah 2x pesen pakan inden seminggu lebih... Gak profesional, petugasnya slow respon. Kapok deh gak kan kerjasama lg"
MUPLE Tv,1,2022-07-04 01:00:05,Pengajuan sayaa gimana kok belum ada kejelasan sudah 3 minggu lebih .belum ada hasil .di suruh daftar lagi. sebenarnyaa bisa gak sih ..atau sudah bangkrutt...
Schwarzer Tenshi,1,2022-07-03 17:34:38,Jujur saja sangat kurang bermanfaat
Thoufiqurrokhim Opik,1,2022-06-30 08:54:55,Aplikasi gak jelas.
Kemal Kusumah,1,2022-06-29 12:42:39,Ada nomor customer service?
Syamsul Imanudin,1,2022-06-19 09:22:13,"Aplikasi tidak bisa digunakan malah ngebleng aja putih tak ada tulisan sepatah katapun,atau menu apa gitu."
Wisnu Surya Wardhana,1,2022-06-05 23:27:41,Aplikasinya ini pake PWA? 🙄
Hasan Farid,1,2022-05-29 19:30:05,Apk taik
Z7,1,2022-05-19 17:47:29,Setelah kirim data tidak ada kelanjuta ... Takutnya disalah gunakan
Luffy Nia,1,2022-05-19 08:46:34,Busuk udah 2x dftar kabayan tpi tau2 udh dsruh daftar lagi..gda kjelasan gagalnya dimana..apk gajelas
O I,1,2022-05-18 11:32:27,"Gak jelas.. Orang sudah daftar dan nunggu konfirmasi, ini nunggu 20 hari malah suruh daftar lagi"
AK Channel,1,2022-05-12 20:43:51,"Buruk, eror saat login kembali dan gk ada kabar kelanjutan setelah kirim semua data beberapa bulan lalu. Smoga data.nya baik-baik saja tidak disalah gunakan"
terminator one,1,2022-05-11 18:47:40,Responnya lama
Anang Luffyan,1,2022-04-18 03:55:22,Apk gajelas..dftar kabayan sedang dproses Mulu udah 1 mingguan
Parjo Suparjo,1,2022-03-31 14:06:51,Piara burug memang ksukanku mem buatsejuk dihati semuaorsng.
NUZUL FR,1,2022-03-31 08:23:37,Baru download ga bisa ke buka bug terus
u s,1,2022-03-10 09:31:21,Ini apalikasi apa sih gak jelas sumpah.. menunya belum pada aktif... Ini untuk memberdayakan petani apa cuman jualan pakan... 😂
Klinik Handphone,1,2022-02-14 11:42:36,Deskribsikandayaonleneotomatisokegoogleplay
Yudi Kurniawan,1,2022-01-24 18:29:02,"Saya udh kasih bintang 5,kenapa saya gak bisa buka aplikasi eFishery ini y..."
Ahmadhadiyatulloh habibi,1,2022-01-15 16:04:56,Gak bisa di buka gan..
raindy prasetya,1,2022-01-12 20:10:16,Banyak bug. Pas register gak bisa simpan..
Zhafran Muhammad,1,2021-12-21 12:58:26,Tidak ada respon dri pihak efish
Koes Swari,1,2021-12-10 12:05:43,"apk tidk bisa dibuka, baru instal tapi tidak bisa register kira kira kenapa ya?"
iqmatul akmal,1,2021-11-23 22:43:40,Aplikasinya belum bekerja
Bayu Aji Pangestu,1,2021-10-31 13:56:29,Engga bisa dioperasikan
26_Nyoman Oki Tanaya,1,2021-09-20 17:52:36,"Untuk defeloper/ yang bertanggung jawab atas aplikasi ini. Saya barusan download, mau register akun aja ga bisa. Mohon segera diperbaiki."
Machdi Setiawan,1,2021-09-08 20:21:31,"Aplikasi belum bekerja sepenuhnya, di chat ga ad respon yg Laen koment pada ngasih bintang lima kawan2 nya yaaakk,....🙏"
