userName,score,at,content,CommentFilter
Amri Dh,1,11/8/2022 7:49,"Setelah isi data diri kabayan, eh.. malah gagal memuat data. Bener ngak nih aplikasi. Takutnya penyalah gunaan data diri. Productnya efishery bagus, aplikasinya juga harus bagus lah.",Gagal Memuat data diri
Prima Cell,1,11/5/2022 18:45,Ndak bisa dibuka,Masalah Pelayanan
Martino Ashar,1,11/3/2022 20:12,Aplikasi tidak jelas. Mau beli pakan sudah di tulis sesuai form yang di wa tp tidak ada respon. Lha terus bagaimana?,Wa tidak Merespon
Pratama Ndaru,1,11/2/2022 17:03,"Mau jual ikan susah, untuk hubungin CSnya aja ga di bales bales. PHP aplikasinya ni",Susah Jual Ikan
Rawun dotTV,1,10/27/2022 1:08,"Tdak ada pembelian pakan tibatiba bisa dikirim kwitansi via wa, padahal aplikasi sebelumya sudah saya hapus. Mengerikan",Fitur Pembelian pakan
Yono Winarto,1,9/26/2022 11:05,Aplikasi ga jelas layanan nya pun sangat sangat buruk mending pikir pikir lg buat petani pake apk ini...,Masalah Pelayanan
Arif Budiono,1,8/8/2022 21:15,Fitur aplikasi belum siap,Fitur Belum Siap
HBS Version,1,7/22/2022 10:22,"Aplikasi yg belum siap launching. Beli pakan langsung diarahkan ke WA utk kirim pesan tapi begitu pesan terkirim tidak ada respon sama sekali. Kemudian terkait alat pemberi pakan pun tdk jelas bgm cara belinya bgm programnya, dan msh byk lainnya yg perlu diperbaiki",Fitur Order masih Kurang 
RAKUS PURWOREJO,1,7/17/2022 0:53,"Aplikasinya kadang susah diakses,sesudah pengajuan program Kabayan tidak ada proses kejlasan di ACC atau ngaknya,,perlu perkembangan ini aplikasi",Pelayanan Fitur Kabayan
kosyim nanang,1,7/14/2022 11:19,"Udah 2x pesen pakan inden seminggu lebih... Gak profesional, petugasnya slow respon. Kapok deh gak kan kerjasama lg",Pelayanan Pengiriman yang lambat
MUPLE Tv,1,7/4/2022 1:00,Pengajuan sayaa gimana kok belum ada kejelasan sudah 3 minggu lebih .belum ada hasil .di suruh daftar lagi. sebenarnyaa bisa gak sih ..atau sudah bangkrutt...,Masalah Pelayanan
Schwarzer Tenshi,1,7/3/2022 17:34,Jujur saja sangat kurang bermanfaat,-
Thoufiqurrokhim Opik,1,6/30/2022 8:54,Aplikasi gak jelas.,-
Kemal Kusumah,1,6/29/2022 12:42,Ada nomor customer service?,Fitur Custumor service
Syamsul Imanudin,1,6/19/2022 9:22,"Aplikasi tidak bisa digunakan malah ngebleng aja putih tak ada tulisan sepatah katapun,atau menu apa gitu.",White Blank
Wisnu Surya Wardhana,1,6/5/2022 23:27,Aplikasinya ini pake PWA? 🙄,-
Hasan Farid,1,5/29/2022 19:30,Apk taik,-
Z7,1,5/19/2022 17:47,Setelah kirim data tidak ada kelanjuta ... Takutnya disalah gunakan,Fitur Data User
Luffy Nia,1,5/19/2022 8:46,Busuk udah 2x dftar kabayan tpi tau2 udh dsruh daftar lagi..gda kjelasan gagalnya dimana..apk gajelas,Masalah Pelayanan
